kind,date,start_time,end_time,time_range,room,session_type,duration,title,description,speakers,speaker_jobs,speaker_orgs,url
conference,2026-01-28,11:30,11:55,11:30 – 11:55,Salle de conférences Paris,Étude de cas,25 min,Empowerment & ROI : comment E.Leclerc transforme la formation en elearning en levier de performance,"Comment former sans imposer ? Dans un modèle coopératif comme celui de l'enseigne E.Leclerc, où chaque magasin est indépendant, et la plupart des métiers opérationnels, engager les équipes sur la e-fo ...",Annabelle AMBLARD | Frédéric HEBERT,Directrice L&D | Chief Learning Officer,E.Leclerc | Rise Up,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/empowerment-roi-comment-eleclerc-transforme-la-formation-en-elearning-en-levier-de-performance
conference,2026-01-28,11:30,11:55,11:30 – 11:55,Salle de conférences Londres,Étude de cas,25 min,Fini l’e-learning passif : place aux IA pédagogiques pour pratiquer et progresser !,"Dans les organisations, la performance ne repose pas uniquement sur ce que l’on sait… mais aussi sur ce que l’on est capable de faire, dans des situations réelles, sous contrainte et avec précision.No ...",Florence ANDRÉ | Nicolas BOURGERIE,Directrice du Développement | CEO,Teach Up | Teach Up,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/digitaliser-la-mise-en-pratique-pour-faciliter-la-transformation-%C3%A0-grande-%C3%A9chelle-des-organisations
conference,2026-01-28,11:30,11:55,11:30 – 11:55,Salle de conférences Las Vegas,Étude de cas,25 min,De bout en bout : découvrez comment l’IA change vraiment le parcours de formation des équipes terrain,"L’IA change déjà la façon dont les équipes terrain apprennent, montent en compétences et utilisent les bons savoirs au moment où ils en ont besoin. Derrière la technologie, ce sont surtout les pratiqu ...",Julien HUELVAN,Co-fondateur & CEO,BEEDEEZ,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/beedeez-%C3%A9tude-de-cas-formation-terrain-de-lavenir
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Berlin,Étude de cas,25 min,Et si la clé de l’engagement…c’était d’en faire moins ? Témoignage du groupe Bouygues Telecom,"Dans cette session rythmée et sans PowerPoint soporifique, découvrez comment Bouygues Telecom mobilise ses collaborateurs autour de la formation.Clément Meslin (CEO, Edflex) et Julie Droz (Bouygues Te ...",Julie DROZ | Clément MESLIN,Responsable Formation | CEO et Co-Fondateur,Bouygues Telecom | Edflex,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/pourquoi-vos-apprenants-ne-veulent-pas-se-former-
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Londres,Keynote,25 min,Impacts de l’Intelligence Artificielle en formation - Conférence de restitution de l’étude annuelle IA et la Formation,"Pour la deuxième année consécutive ILDI, en partenariat avec LTF et Gutenberg Technologies, présente en avant-première les résultats de son étude sur l’impact de l’Intelligence Artificielle sur la For ...",Philippe GIL | Philippe LACROIX,Directeur Associé et Co-fondateur | Directeur Associé et Co-fondateur,ILDI | ILDI,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/impacts-de-lintelligence-artificielle-en-formation-conf%C3%A9rence-de-restitution-de-l%C3%A9tude-annuelle-ia-et-la-formatio
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Paris,Étude de cas,25 min,Harmoniser sans uniformiser : comment Arkema rend le savoir accessible aux 4 coins du globe ?,"Garantir un même standard de compétences pour chaque collaborateur, tout en respectant la diversité culturelle et métier : telle est la mission que s’est fixée Arkema. Ce groupe industriel implanté da ...",Solange CAMARADA | Claire PHILIPPE | Amélie FIDRIC,"Digital Learning Manager | Client Success Partner | Partnerships & Product Adoption Lead, Learning & Talent",Arkema | 360Learning | SAP SuccessFactors,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/harmoniser-sans-uniformiser-comment-arkema-rend-le-savoir-accessible-aux-4-coins-du-globe-
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Las Vegas,Étude de cas,25 min,"Multimodalité : le buzzword qui marche (vraiment), retour d'expérience de L'EFAB","On vous a promis que mixer les formats allait tout changer. Spoiler : c'est vrai, mais pas n'importe comment. L'EFAB et Kwark décryptent leur dispositif combinant VR, vidéo, podcast et présentiel. Ce ...",Florian LARBALESTIER | Victor GERVASONI,Directeur du pôle Ingénierie pédagogique | Directeur Général,Kwark | Efab,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/multimodalit%C3%A9-le-buzzword-qui-marche-vraiment
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Berlin,Keynote,30 min,"Engagement apprenant : l’expérience ne se décrète pas, elle se design","Avez-vous déjà conçu un super dispositif de formation, … sans que personne ne s’engage vraiment ? Contenus riches, formats variés, LMS dernier cri, et pourtant : peu d’adhésion, peu d’impact. Pourquoi ...",Anne-Marie CUINIER,Consultante / Formatrice Digital Learning & Marketing de la Formation et créatrice du podcast Learn & Enjoy,,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/engagement-apprenant-lexp%C3%A9rience-ne-se-d%C3%A9cr%C3%A8te-pas-elle-se-design
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Londres,Table ronde,30 min,"En avant-première : Passez à la vitesse IA : vie pro, vie perso et études (éd. Dunod)","À l’occasion de la sortie de son livre Passer à la vitesse IA, Yann Ruello présentera l’approche de Big Bang AI, la communauté qui transforme l’IA complexe en solutions simples et pratiques pour chacu ...",Maëlle BERTRAND | Patrick CHATAIGNIER | Yann RUELLO,"Marketing Executive, Rippletide | Directeur de l’Innovation, Orange | Co-fondateur, Big Bang AI","Co-fondatrice, Big Bang AI | Co fondateur, Big Bang AI | Directeur Marketing IA, Orange",https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/en-avant-premi%C3%A8re-passez-%C3%A0-la-vitesse-ia-vie-pro-vie-perso-et-%C3%A9tudes-%C3%A9d-dunod
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Paris,,30 min,"Du ""Push"" au ""Pull"" - Ancrer une Culture d'Apprentissage chez Rexel","Le lancement du Rexel Learning Hub fut un succès d'implémentation. Mais comment transformer un ""pic d'adoption"" en un réflexe d'apprentissage quotidien dans un groupe global et décentralisé ? Geoffrey ...",Geoffrey ECARNOT,Group Learning & HR Development Officer,Rexel,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/du-push-au-pull-ancrer-une-culture-dapprentissage-chez-rexel
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Las Vegas,Étude de cas,30 min,"Piloter et réussir son plan de formation à l’Intelligence Artificielle : vision, méthodologie et retours d’expérience d’un leader du secteur","Former à l’intelligence artificielle n’est plus une option, mais un levier stratégique pour développer les compétences et accompagner la transformation des métiers. À travers cette conférence, Martin ...",Martin PAVANELLO,Président,Mister IA,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/piloter-et-r%C3%A9ussir-son-plan-de-formation-%C3%A0-lintelligence-artificielle-vision-m%C3%A9thodologie-et-retours-dexp%C3%A9rience-dun-leader-du-secteur
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Berlin,Étude de cas,25 min,"À l’ère de l’IA, le SMS Learning chez THALES Group : moteur d’engagement communautaire et d’ancrage","Comment une modalité simple (mais pas simpliste) comme le SMS enrichi peut-elle devenir un levier d’apprentissage collectif ?Michèle Velves, Directrice de l’Académie Industrie de THALES Group, partage ...",Michèle VELVES | Fleur-Ève LE FOLL,Directrice de l’Académie Industrie | Dirigeante Fondatrice,Thales Group | Anemon SMS Learning,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/%C3%A0-l%C3%A8re-de-lia-le-sms-learning-chez-thales-group-moteur-dengagement-communautaire-et-dancrage
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Londres,Keynote (English),25 min,Adapting to Disruption: Rethinking Learning Tech in the Age of AI,"The learning technology landscape is evolving fast, and AI is just the latest wave of disruption. But navigating this change isn’t just about tracking tools—it’s about shifting how we think. In this i ...",David KELLY,"Learning & Technology Analyst, Keynote Speaker",Industry Researcher,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/adapting-to-disruption-rethinking-learning-tech-in-the-age-of-ai
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Paris,Étude de cas,25 min,Comment VINCI Construction assure l’adoption de son SIRH dans un contexte décentralisé ?,"Découvrez comment VINCI Construction a réussi à simplifier le déploiement d’Oracle HCM Cloud en sécurisant l’adoption de ses processus RH grâce à une approche innovante de formation embarquée, directe ...",Toan NGUYEN | Alexandra PANSIER | Laetitia GINTRAC,CEO et fondateur | Responsable SIRH – Domaine Formation | Administratrice TMS,Shortways | VINCI Construction | VINCI Construction,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/comment-vinci-construction-assure-ladoption-de-son-sirh-dans-un-contexte-d%C3%A9centralis%C3%A9-
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Las Vegas,Étude de cas,25 min,Réalité virtuelle : Levier de transformation digitale et d'apprentissage au sein du département L&D de SNCB Technics,"La VR fait partie des outils utilisés par le département L&D Technics pour implémenter un changement de stratégie et s’orienter vers une culture d’apprentissage plus innovante. Dans ce cadre, nous pré ...",Amélie DETOLLENAERE | Filip DHEERE,Senior Manager Learning & Development | Manager Learning & Development,SNCB – département Technics | SNCB – département Technics,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/r%C3%A9alit%C3%A9-virtuelle-levier-de-transformation-digitale-et-dapprentissage-au-sein-du-d%C3%A9partement-ld-de-sncb-technics
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Berlin,Atelier,25 min,"Robots, IA, comment booster l’efficacité de vos formations ? Avec exemples concrets","Cette conférence propose une exploration des apports conjoints de la robotique, de l’intelligence artificielle et des environnements augmentés dans les dispositifs de formation. En incarnant les proce ...",Marie Pierre DUBOST,Présidente,E-Charlemagne,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/robots-ia-comment-booster-lefficacit%C3%A9-de-vos-formations-
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Londres,Keynote (English),25 min,Beyond Trust and Control A New Intelligence For Learning,"As complexity outpaces our capacity to govern it, traditional tools like control and trust begin to fail. This keynote explores why 20th-century system design — based on predictability, authority, and ...",Achim LELLE,AI Strategist & Transformation Advisor,"Lakeside Analytics LTD, London",https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/beyond-trust-and-control-a-new-intelligence-for-learning
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Paris,Étude de cas,25 min,Académie France Travail : le défi d’ouvrir et transformer la formation en 3 mois !,"Découvrez comment France Travail a déployé en un temps record son Académie, une plateforme digitale au service de tout le réseau pour l’emploi. Lors de cette conférence, Virginie Augereau et Laurence ...",David FAICT | Laurence BONZI | Virginie AUGEREAU,Head of Sales | Responsable Expérience utilisateurs et innovations technologiques | Directrice Adjointe Transformation Digitale et Données RH,Bealink | France Travail | France Travail,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/acad%C3%A9mie-france-travail-le-d%C3%A9fi-douvrir-et-transformer-la-formation-en-3-mois-
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Las Vegas,Étude de cas,25 min,"Gamification, serious game, pédagogie active : qu'est-il possible de faire par soi-même ?","Avec une proposition en 4 niveaux croissants de pédagogie active, Laurent reviendra sur ce qu'il est possible d'attendre d'un digital learning manager en 2026, sur les compétences à développer pour pr ...",Laurent AUNEAU,Président Fondateur,Ludicius,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/gamification-serious-game-pedagogie-active-quest-il-possible-de-faire-par-soi-m%C3%AAme-
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Las Vegas,Keynote,25 min,"Former à l’IA aujourd’hui, c’est devoir re-former demain.","Chaque semaine, l’IA se réinvente et avec elle, les usages, les technologies apparaissent et disparaissent. Peut-on encore “former” à quelque chose qui évolue en temps réel ? Cette conférence explore ...",Jérôme BOSIO,Directeur Général,XOS,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/former-%C3%A0-lia-aujourdhui-cest-devoir-re-former-demain
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Londres,Case study (English),25 min,"Empowering People, Accelerating Change: Learning for the Digital Era at UCB Biopharmaceuticals",Digital transformation demands more than technology & tools — it requires empowered and confident people. Discover how UCB is enabling individuals to become catalysts of transformation. Through AI Lit ...,Morad CHERRADI | Cedric BORZEE,"Head of Digital & Innovation Skills | Director, Consulting & Advisory Services",UCB | NIIT,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/empowering-people-accelerating-change-learning-for-the-digital-era-at-ucb-biopharmaceuticals
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Paris,Table ronde,25 min,Construire un Learning Landscape engageant : les plateformes LMS / TMS comme leviers de transformation,"À travers ce regard croisé, quatre expert(e)s partagent leur démarche pour construire une expérience learning porteuse de sens et d’impact, en parfaite résonnance avec les besoins de leur audience. De ...",Maxime COGNACQ | Florent TEMBOURY | Hélène CLÉMENT | Cécile PARRY,Global Digital Learning Manager | Global Digital Learning Manager | Directrice Bpifrance Université | Innovative and Digital Learning Manager & Expert,Louis Vuitton | Groupe Eiffage | Bpifrance | KEDGE Business School,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/construire-un-learning-landscape-au-service-de-lengagement-regards-crois%C3%A9s-et-leviers-de-transformation
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Berlin,Étude de cas,25 min,L'IA Articulate 360 : créez et localisez vos modules e-learning en minutes - deux cas d'usage,"Produire un module e-learning de qualité demande du temps, et le localiser encore plus. Dans cette conférence, nous explorerons ce qui distingue réellement Articulate 360 AI des autres solutions : Une ...",Allison LAMOTTE,"Rédactrice en chef, Messaging Design",Articulate,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/lia-articulate-360-cr%C3%A9ez-et-localisez-vos-modules-e-learning-en-minutes-deux-cas-dusage
conference,2026-01-28,16:00,16:25,16:00 – 16:25,Salle de conférences Londres,Keynote (English),25 min,Global Sentiment Survey 2026: What future does L&D have in an AI world?,"AI hype has finally peaked – now things get real, and they may get nasty, too. In this session, Donald H Taylor will draw on his recent research to consider the future of L&D in a world reshaped by Ar ...",Donald H TAYLOR,Chair,Learning Technologies London,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/global-sentiment-survey-2026-what-future-does-ld-have-in-an-ai-world-1
conference,2026-01-28,16:00,16:25,16:00 – 16:25,Salle de conférences Paris,Étude de cas,25 min,Carrefour : déployer l’adoption de l’IA générative à l’échelle du Groupe,"Comment un groupe mondial comme Carrefour réussit-il à embarquer ses équipes autour de l’adoption de l’IA générative ? Lors de cette conférence, Romina Cavallucci, Directrice Formation et Development ...",Damien MICHEL | Romina CAVALLUCCI,Directeur du Développement | Directrice Formation et Development Groupe,MyConnecting | Carrefour,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/carrefour-d%C3%A9ployer-ladoption-de-lia-g%C3%A9n%C3%A9rative-%C3%A0-l%C3%A9chelle-du-groupe
conference,2026-01-28,16:00,16:25,16:00 – 16:25,Salle de conférences Las Vegas,Étude de cas,25 min,Découvrez comment nos clients transforment leurs formations présentielles en micro-learning avec L'IA,Découvrez comment nos clients centre de formations ajoute une dimension numérique à leur formation présentielle à travers la présentation de projets concrets en blended learning ou en 100% e-learning. ...,Antoine NGO,CEO,Sinfony,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/d%C3%A9couvrez-comment-nos-clients-transforment-leurs-formations-pr%C3%A9sentielles-en-micro-learning-avec-lia
conference,2026-01-28,16:00,16:25,16:00 – 16:25,Salle de conférences Berlin,,25 min,L'IA et création de contenu eLearning : levier pour un véritable ROI pour les entreprises,,,,,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/lia-et-cr%C3%A9ation-de-contenu-elearning-levier-pour-un-v%C3%A9ritable-roi-pour-les-entreprises
conference,2026-01-28,16:30,16:55,16:30 – 16:55,Salle de conférences Londres,Keynote (English),25 min,How to Use AI and New Technologies to Truly Improve Performance,"As AI continues to advance and new software products and technologies are released regularly, it’s critical for L&D departments to determine what technology to use and how to make the best use of it t ...",David GURALNICK,President and CEO,Kaleidoscope Learning,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/how-to-use-ai-and-new-technologies-to-truly-improve-performance
conference,2026-01-28,16:30,16:55,16:30 – 16:55,Salle de conférences Paris,Keynote,25 min,Prendre des décisions impactantes dans l'incertitude,"Dans cette keynote participative, nous verrons l’impact des décisions de votre organisation, en particulier dans un contexte d’incertitude : comment transformer l’incertitude en opportunité de gagner ...",Lorraine MARGHERITA,Collective dynamics Practice lead,Awair,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/prendre-des-d%C3%A9cisions-impactantes-dans-lincertitude
conference,2026-01-28,16:30,16:55,16:30 – 16:55,Salle de conférences Las Vegas,Atelier,25 min,Doper sa Learning Experience avec l’IA,Découvrez quelques techniques et outils surprenants pour développer l'expérience en formation professionnelle.,Romain RISSOAN,Gérant de Optédif formation – Consultant formateur expert en IA,Optédif formation,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/doper-sa-learning-experience-avec-lia
conference,2026-01-28,16:30,16:55,16:30 – 16:55,Salle de conférences Berlin,Étude de cas,25 min,L'IA éthique au cœur des formations : témoignage de l'Agence de la biomédecine et découverte des agents IA responsables,"Comment déployer l'intelligence artificielle dans la formation tout en respectant valeurs éthiques, sécurité et conformité ? Cette conférence apporte des réponses concrètes à travers deux regards comp ...",Brice GAILLARD | Marie-Charlotte LAIGO-PAÏTARD,Cofondateur et Directeur Général | Chargée de projet formation,Apolearn | Agence de la biomédecine,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/lia-%C3%A9thique-au-c%C5%93ur-des-formations-t%C3%A9moignage-de-lagence-de-la-biom%C3%A9decine-et-d%C3%A9couverte-des-agents-ia-responsables
conference,2026-01-28,17:00,17:25,17:00 – 17:25,Salle de conférences Paris,Keynote,25 min,Orchestrez la transformation organisationnelle people+AI,"La transformation organisationnelle people+AI marque une rupture historique : les organisations ne fonctionnent plus comme des structures hiérarchiques, mais comme des ensembles dynamiques où humains ...",Andrei VILLARROEL,Fondateur innoverse.ai,Professeur EPFL et MIT Sloan,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/orchestrez-la-transformation-organisationnelle-peopleai
conference,2026-01-28,17:00,17:25,17:00 – 17:25,Salle de conférences Las Vegas,Keynote,25 min,Laisser tomber la Gen Z pour ne pas la louper - du bon usage de 40 neuro expériences pour les captiver et mieux transmettre,"Et si enseigner, c’était avant tout comprendre comment le cerveau apprend ? Cette conférence immersive propose aux formateurs de vivre des neuro-expériences pour ressentir, plutôt que simplement compr ...",Stéphane GINOCCHIO,Enseignant Permanent en neurosciences appliquées,College de Paris,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/laisser-tomber-la-gen-z-pour-ne-pas-la-louper-du-bon-usage-de-40-neuro-exp%C3%A9riences-pour-les-captiver-et-mieux-transmettre
conference,2026-01-28,17:00,17:25,17:00 – 17:25,Salle de conférences Londres,Workshop (English),25 min,"No MAD’s Land - Smash the Bricks, Find Your Spark","“If we keep doing what we always did, we’ll get what we always got. That’s MADness.” A story for the ones who feel the system no longer fits. You wake up. You rush. You log in.You sit in a meeting abo ...",Guy OOMS,Founder,Sigmund,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/no-mads-land-smash-the-bricks-find-your-spark
conference,2026-01-28,17:00,17:25,17:00 – 17:25,Salle de conférences Berlin,Keynote,25 min,Comprendre et appliquer l’IA pour un organisme de formation,"L’intelligence artificielle est sur toutes les lèvres, mais où en sommes-nous réellement dans son adoption et son impact sur le secteur de la formation ? Lors de cette conférence, nos experts partager ...",Hadrien KULIK | Benoit FAVARD,Directeur et fondateur de Dendreo | Directeur marketing,Septeo | Septeo Education,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/comprendre-et-appliquer-lia-dans-la-cr%C3%A9ation-de-ressources-des-organismes-de-formation
conference,2026-01-28,17:30,17:55,17:30 – 17:55,Salle de conférences Berlin,Keynote,25 min,Les effets positifs et les risques cognitifs liés à l’usage massif de l’IA,"IA, réseaux sociaux… Nos cerveaux s’accoutument aux contenus éclairs et aux réponses instantanées : attention qui s’effrite, réflexes automatiques… et si l’IA devenait au contraire un amplificateur de ...",Lucie DHORNE,"Autrice, conférencière, formatrice & consultante",Creativ’ip,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/les-effets-positifs-et-les-risques-cognitifs-li%C3%A9s-%C3%A0-lusage-massif-de-lia
conference,2026-01-28,17:30,17:55,17:30 – 17:55,Salle de conférences Londres,Round table (English),25 min,Future of work and learning,,Achim LELLE | David KELLY | Donald H TAYLOR | Guy OOMS,"AI Strategist & Transformation Advisor | Learning & Technology Analyst, Keynote Speaker | Chair | Founder","Lakeside Analytics LTD, London | Industry Researcher | Learning Technologies London | Sigmund",https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/future-of-work-and-learning
conference,2026-01-28,17:30,17:55,17:30 – 17:55,Salle de conférences Paris,Table ronde,25 min,Questions essentielles pour Artificial Intelligence Action Summit Basel 2026,,Salime NASSUR | Nick HERNANDEZ,CEO | Président et Fondateur,Maars | 360Learning,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/questions-essentielles-pour-artificial-intelligence-action-summit-basel-2026
