kind,date,start_time,end_time,time_range,room,session_type,duration,title,description,speakers,speaker_jobs,speaker_orgs,url
live_session,2026-01-28,11:30,11:50,11:30 – 11:50,Théâtre 1,,,Au-delà de la hype de L’IA: construire la confiance et de vrais liens dans les équipes internationales,,Sophie HUET,Directrice de la Conception Pédagogique et des Opérations de contenu,BUSUU,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-busuu
live_session,2026-01-28,11:30,11:50,11:30 – 11:50,Théâtre 2,,,Gamification et serious game : les meilleures pratiques de la ludopédagogie,,Laurent AUNEAU,Président Fondateur,Ludicius,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-ludicius
live_session,2026-01-28,11:30,11:50,11:30 – 11:50,Théâtre 3,,,"B-Learn : Le coach IA qui entraîne, évalue et accélère la montée en compétence",,Baptiste CHARNIER,Co-Founder & CEO,Baber Learning,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/b-learn-le-coach-ia-qui-entra%C3%AEne-%C3%A9value-et-acc%C3%A9l%C3%A8re-la-mont%C3%A9e-en-comp%C3%A9tence
live_session,2026-01-28,11:30,11:50,11:30 – 11:50,Théâtre 4,,,Microlearning et stratégies d’ancrage : les méthodes scientifiquement validées,,Vincent DEGRIECK | Philippe LAMBERT,Expert en IA et Technologies | Directeur Pédagogique,M2I | SKOLAE FORMATION,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-m2i-formation
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Berlin,Étude de cas,25 min,Et si la clé de l’engagement…c’était d’en faire moins ? Témoignage du groupe Bouygues Telecom,"Dans cette session rythmée et sans PowerPoint soporifique, découvrez comment Bouygues Telecom mobilise ses collaborateurs autour de la formation.Clément Meslin (CEO, Edflex) et Julie Droz (Bouygues Te ...",Julie DROZ | Clément MESLIN,Responsable Formation | CEO et Co-Fondateur,Bouygues Telecom | Edflex,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/pourquoi-vos-apprenants-ne-veulent-pas-se-former-
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Las Vegas,Étude de cas,25 min,"Multimodalité : le buzzword qui marche (vraiment), retour d'expérience de L'EFAB","On vous a promis que mixer les formats allait tout changer. Spoiler : c'est vrai, mais pas n'importe comment. L'EFAB et Kwark décryptent leur dispositif combinant VR, vidéo, podcast et présentiel. Ce ...",Florian LARBALESTIER | Victor GERVASONI,Directeur du pôle Ingénierie pédagogique | Directeur Général,Kwark | Efab,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/multimodalit%C3%A9-le-buzzword-qui-marche-vraiment
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Londres,Keynote,25 min,Impacts de l’Intelligence Artificielle en formation - Conférence de restitution de l’étude annuelle IA et la Formation,"Pour la deuxième année consécutive ILDI, en partenariat avec LTF et Gutenberg Technologies, présente en avant-première les résultats de son étude sur l’impact de l’Intelligence Artificielle sur la For ...",Philippe GIL | Philippe LACROIX,Directeur Associé et Co-fondateur | Directeur Associé et Co-fondateur,ILDI | ILDI,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/impacts-de-lintelligence-artificielle-en-formation-conf%C3%A9rence-de-restitution-de-l%C3%A9tude-annuelle-ia-et-la-formatio
conference,2026-01-28,12:00,12:25,12:00 – 12:25,Salle de conférences Paris,Étude de cas,25 min,Harmoniser sans uniformiser : comment Arkema rend le savoir accessible aux 4 coins du globe ?,"Garantir un même standard de compétences pour chaque collaborateur, tout en respectant la diversité culturelle et métier : telle est la mission que s’est fixée Arkema. Ce groupe industriel implanté da ...",Solange CAMARADA | Claire PHILIPPE | Amélie FIDRIC,"Digital Learning Manager | Client Success Partner | Partnerships & Product Adoption Lead, Learning & Talent",Arkema | 360Learning | SAP SuccessFactors,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/harmoniser-sans-uniformiser-comment-arkema-rend-le-savoir-accessible-aux-4-coins-du-globe-
live_session,2026-01-28,12:00,12:20,12:00 – 12:20,Théâtre 1,,,Apprendre autrement : quand l’IA remet la pédagogie au centre avec Autrice.ai,,Julien LE LAGADEC,VP Sales & Partnerships,Autrice,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/apprendre-autrement-quand-lia-remet-la-p%C3%A9dagogie-au-centre-avec-autriceai
live_session,2026-01-28,12:00,12:20,12:00 – 12:20,Théâtre 2,,,Améliorer l’accessibilité et l’inclusivité de vos formations grâce aux agents IA,,Thomas SIMONNET | Romain HENRI,Responsable du développement Commercial | CTO,Apolearn | Apolearn,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-apolearn-1
live_session,2026-01-28,12:00,12:20,12:00 – 12:20,Théâtre 3,,,IA et vidéo: Ce qui maintient l'engagement des apprenants et comment l'IA change les règles,,Sandrine VERDUN,Formatrice Recommandée TechSmith et Consultante Digital Learning,TECHSMITH,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-techsmith
live_session,2026-01-28,12:00,12:20,12:00 – 12:20,Théâtre 4,,,Avatars IA en immersive learning : REX clients relation client & incivilités,,Benjamin ATLANI,CEO,WiXar,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/avatars-ia-en-immersive-learning-rex-clients-relation-client-incivilit%C3%A9s
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Berlin,Keynote,30 min,"Engagement apprenant : l’expérience ne se décrète pas, elle se design","Avez-vous déjà conçu un super dispositif de formation, … sans que personne ne s’engage vraiment ? Contenus riches, formats variés, LMS dernier cri, et pourtant : peu d’adhésion, peu d’impact. Pourquoi ...",Anne-Marie CUINIER,Consultante / Formatrice Digital Learning & Marketing de la Formation et créatrice du podcast Learn & Enjoy,,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/engagement-apprenant-lexp%C3%A9rience-ne-se-d%C3%A9cr%C3%A8te-pas-elle-se-design
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Las Vegas,Étude de cas,30 min,"Piloter et réussir son plan de formation à l’Intelligence Artificielle : vision, méthodologie et retours d’expérience d’un leader du secteur","Former à l’intelligence artificielle n’est plus une option, mais un levier stratégique pour développer les compétences et accompagner la transformation des métiers. À travers cette conférence, Martin ...",Martin PAVANELLO,Président,Mister IA,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/piloter-et-r%C3%A9ussir-son-plan-de-formation-%C3%A0-lintelligence-artificielle-vision-m%C3%A9thodologie-et-retours-dexp%C3%A9rience-dun-leader-du-secteur
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Londres,Table ronde,30 min,"En avant-première : Passez à la vitesse IA : vie pro, vie perso et études (éd. Dunod)","À l’occasion de la sortie de son livre Passer à la vitesse IA, Yann Ruello présentera l’approche de Big Bang AI, la communauté qui transforme l’IA complexe en solutions simples et pratiques pour chacu ...",Maëlle BERTRAND | Patrick CHATAIGNIER | Yann RUELLO,"Marketing Executive, Rippletide | Directeur de l’Innovation, Orange | Co-fondateur, Big Bang AI","Co-fondatrice, Big Bang AI | Co fondateur, Big Bang AI | Directeur Marketing IA, Orange",https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/en-avant-premi%C3%A8re-passez-%C3%A0-la-vitesse-ia-vie-pro-vie-perso-et-%C3%A9tudes-%C3%A9d-dunod
conference,2026-01-28,12:30,13:00,12:30 – 13:00,Salle de conférences Paris,,30 min,"Du ""Push"" au ""Pull"" - Ancrer une Culture d'Apprentissage chez Rexel","Le lancement du Rexel Learning Hub fut un succès d'implémentation. Mais comment transformer un ""pic d'adoption"" en un réflexe d'apprentissage quotidien dans un groupe global et décentralisé ? Geoffrey ...",Geoffrey ECARNOT,Group Learning & HR Development Officer,Rexel,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/du-push-au-pull-ancrer-une-culture-dapprentissage-chez-rexel
live_session,2026-01-28,12:30,12:50,12:30 – 12:50,Théâtre 1,,,De l’expertise terrain à la formation scalable : démonstration avec DIXEO,,,,,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-edunao
live_session,2026-01-28,12:30,12:50,12:30 – 12:50,Théâtre 2,,,Le pouvoir de la pratique immersive : transformer la formation commerciale avec les avatars,,Juliette BOJANIC,Solutions Consultant Manager,CrossKnowledge,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-crossknowledge
live_session,2026-01-28,12:30,12:50,12:30 – 12:50,Théâtre 3,,,AFEST & Savoir-Faire : comment garantir la préservation des savoir-faire ?,,Pacôme DE TAYRAC | Frédéric DEMARCQ,Responsable Pôle Conseil | Chief L&D Officer,Altissima | Africa Global Logistics (AGL),https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/afest-savoir-faire-comment-garantir-la-pr%C3%A9servation-des-savoir-faire-
live_session,2026-01-28,12:30,12:50,12:30 – 12:50,Théâtre 4,,,Comment valoriser votre offre de formation dans un marché saturé ?,,Nicolas DUPOUY,Directeur Commercial,BCdiploma,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/comment-valoriser-votre-offre-de-formation-dans-un-march%C3%A9-satur%C3%A9-
live_session,2026-01-28,13:00,13:20,13:00 – 13:20,Théâtre 1,,,L’Intelligence artificielle au service de l’évaluation,,Patrice BERTRAND,Directeur Associé,Experquiz,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/lintelligence-artificielle-au-service-de-l%C3%A9valuation
live_session,2026-01-28,13:00,13:20,13:00 – 13:20,Théâtre 2,,,"L'IA au service du L&D… Au-delà du buzzword, dans la vraie vie, ça ressemble à quoi ?",,Morgan NAUD,Deputy CEO – Product & Marketing,Bealink,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-bealink
live_session,2026-01-28,13:00,13:20,13:00 – 13:20,Théâtre 3,,,Consultez l'app pour + d'informations,,,,,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-sana-labs
live_session,2026-01-28,13:00,13:20,13:00 – 13:20,Théâtre 4,,,Retour du présentiel : comment le LMS s’adapte (enfin) à la réalité du terrain ?,,Estelle GUYOT,Digital Learning Consultant,MindOnSite,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/retour-du-pr%C3%A9sentiel-comment-le-lms-sadapte-enfin-%C3%A0-la-r%C3%A9alit%C3%A9-du-terrain-
live_session,2026-01-28,13:30,13:50,13:30 – 13:50,Théâtre 1,,,Comment les IA pédagogiques rendent enfin possible la mise en pratique en digital,,Boris LUCAS,Sales Manager,Teach Up,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-teach-up-1
live_session,2026-01-28,13:30,13:50,13:30 – 13:50,Théâtre 2,,,"Gérez votre énergie, pas (seulement) votre temps",,Virginie LAURENT,Head of Coaching Sciences,Speexx,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-speexx
live_session,2026-01-28,13:30,13:50,13:30 – 13:50,Théâtre 3,,,Première offre d’Adaptive Learning “sur étagères” : quand l’individualisation devient enfin déployable à grande échelle,,Fabienne BOUCHUT | Bertrand DÉROULÈDE,Cheffe de projets innovation | Manager de l’offre management et changement,Cegos | Cegos,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/session-tbc-sponsoris%C3%A9e-par-cegos
live_session,2026-01-28,13:30,13:50,13:30 – 13:50,Théâtre 4,,,"Maximisez votre ROI formation : copilote IA côté créateur, tuteur IA côté apprenant",,Alexandre LECT | Matthieu MASSE,Co-founder et CEO | Co-founder et CPTO,edtake | edtake,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-power-sessions/maximisez-votre-roi-formation-copilote-ia-c%C3%B4t%C3%A9-cr%C3%A9ateur-tuteur-ia-c%C3%B4t%C3%A9-apprenant
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Berlin,Étude de cas,25 min,"À l’ère de l’IA, le SMS Learning chez THALES Group : moteur d’engagement communautaire et d’ancrage","Comment une modalité simple (mais pas simpliste) comme le SMS enrichi peut-elle devenir un levier d’apprentissage collectif ?Michèle Velves, Directrice de l’Académie Industrie de THALES Group, partage ...",Michèle VELVES | Fleur-Ève LE FOLL,Directrice de l’Académie Industrie | Dirigeante Fondatrice,Thales Group | Anemon SMS Learning,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/%C3%A0-l%C3%A8re-de-lia-le-sms-learning-chez-thales-group-moteur-dengagement-communautaire-et-dancrage
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Las Vegas,Étude de cas,25 min,Réalité virtuelle : Levier de transformation digitale et d'apprentissage au sein du département L&D de SNCB Technics,"La VR fait partie des outils utilisés par le département L&D Technics pour implémenter un changement de stratégie et s’orienter vers une culture d’apprentissage plus innovante. Dans ce cadre, nous pré ...",Amélie DETOLLENAERE | Filip DHEERE,Senior Manager Learning & Development | Manager Learning & Development,SNCB – département Technics | SNCB – département Technics,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/r%C3%A9alit%C3%A9-virtuelle-levier-de-transformation-digitale-et-dapprentissage-au-sein-du-d%C3%A9partement-ld-de-sncb-technics
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Londres,Keynote (English),25 min,Adapting to Disruption: Rethinking Learning Tech in the Age of AI,"The learning technology landscape is evolving fast, and AI is just the latest wave of disruption. But navigating this change isn’t just about tracking tools—it’s about shifting how we think. In this i ...",David KELLY,"Learning & Technology Analyst, Keynote Speaker",Industry Researcher,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/adapting-to-disruption-rethinking-learning-tech-in-the-age-of-ai
conference,2026-01-28,14:00,14:25,14:00 – 14:25,Salle de conférences Paris,Étude de cas,25 min,Comment VINCI Construction assure l’adoption de son SIRH dans un contexte décentralisé ?,"Découvrez comment VINCI Construction a réussi à simplifier le déploiement d’Oracle HCM Cloud en sécurisant l’adoption de ses processus RH grâce à une approche innovante de formation embarquée, directe ...",Toan NGUYEN | Alexandra PANSIER | Laetitia GINTRAC,CEO et fondateur | Responsable SIRH – Domaine Formation | Administratrice TMS,Shortways | VINCI Construction | VINCI Construction,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/comment-vinci-construction-assure-ladoption-de-son-sirh-dans-un-contexte-d%C3%A9centralis%C3%A9-
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Berlin,Atelier,25 min,"Robots, IA, comment booster l’efficacité de vos formations ? Avec exemples concrets","Cette conférence propose une exploration des apports conjoints de la robotique, de l’intelligence artificielle et des environnements augmentés dans les dispositifs de formation. En incarnant les proce ...",Marie Pierre DUBOST,Présidente,E-Charlemagne,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/robots-ia-comment-booster-lefficacit%C3%A9-de-vos-formations-
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Las Vegas,Étude de cas,25 min,"Gamification, serious game, pédagogie active : qu'est-il possible de faire par soi-même ?","Avec une proposition en 4 niveaux croissants de pédagogie active, Laurent reviendra sur ce qu'il est possible d'attendre d'un digital learning manager en 2026, sur les compétences à développer pour pr ...",Laurent AUNEAU,Président Fondateur,Ludicius,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/gamification-serious-game-pedagogie-active-quest-il-possible-de-faire-par-soi-m%C3%AAme-
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Londres,Keynote (English),25 min,Beyond Trust and Control A New Intelligence For Learning,"As complexity outpaces our capacity to govern it, traditional tools like control and trust begin to fail. This keynote explores why 20th-century system design — based on predictability, authority, and ...",Achim LELLE,AI Strategist & Transformation Advisor,"Lakeside Analytics LTD, London",https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/beyond-trust-and-control-a-new-intelligence-for-learning
conference,2026-01-28,14:30,14:55,14:30 – 14:55,Salle de conférences Paris,Étude de cas,25 min,Académie France Travail : le défi d’ouvrir et transformer la formation en 3 mois !,"Découvrez comment France Travail a déployé en un temps record son Académie, une plateforme digitale au service de tout le réseau pour l’emploi. Lors de cette conférence, Virginie Augereau et Laurence ...",David FAICT | Laurence BONZI | Virginie AUGEREAU,Head of Sales | Responsable Expérience utilisateurs et innovations technologiques | Directrice Adjointe Transformation Digitale et Données RH,Bealink | France Travail | France Travail,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/acad%C3%A9mie-france-travail-le-d%C3%A9fi-douvrir-et-transformer-la-formation-en-3-mois-
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Berlin,Étude de cas,25 min,L'IA Articulate 360 : créez et localisez vos modules e-learning en minutes - deux cas d'usage,"Produire un module e-learning de qualité demande du temps, et le localiser encore plus. Dans cette conférence, nous explorerons ce qui distingue réellement Articulate 360 AI des autres solutions : Une ...",Allison LAMOTTE,"Rédactrice en chef, Messaging Design",Articulate,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/lia-articulate-360-cr%C3%A9ez-et-localisez-vos-modules-e-learning-en-minutes-deux-cas-dusage
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Las Vegas,Keynote,25 min,"Former à l’IA aujourd’hui, c’est devoir re-former demain.","Chaque semaine, l’IA se réinvente et avec elle, les usages, les technologies apparaissent et disparaissent. Peut-on encore “former” à quelque chose qui évolue en temps réel ? Cette conférence explore ...",Jérôme BOSIO,Directeur Général,XOS,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/former-%C3%A0-lia-aujourdhui-cest-devoir-re-former-demain
conference,2026-01-28,15:00,15:25,15:00 – 15:25,Salle de conférences Londres,Case study (English),25 min,"Empowering People, Accelerating Change: Learning for the Digital Era at UCB Biopharmaceuticals",Digital transformation demands more than technology & tools — it requires empowered and confident people. Discover how UCB is enabling individuals to become catalysts of transformation. Through AI Lit ...,Morad CHERRADI | Cedric BORZEE,"Head of Digital & Innovation Skills | Director, Consulting & Advisory Services",UCB | NIIT,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/empowering-people-accelerating-change-learning-for-the-digital-era-at-ucb-biopharmaceuticals
